year,month,month_num,dogs_euthanised,dogs_kennelled,dogs_retained_by_finder,dogs_returned_by_kennel_provider,dogs_returned_by_warden,dogs_seized,patrolled_no_dog_found,warden_advised_owners
2023,October,10,0.0,12.0,0.0,3.0,0.0,12.0,0.0,0.0
2023,November,11,0.0,8.0,0.0,0.0,1.0,8.0,0.0,0.0
2023,December,12,0.0,6.0,0.0,0.0,0.0,6.0,0.0,0.0
2024,January,1,0.0,10.0,0.0,4.0,0.0,10.0,0.0,0.0
2024,February,2,0.0,12.0,0.0,3.0,0.0,12.0,0.0,0.0
2024,March,3,0.0,5.0,0.0,2.0,0.0,5.0,0.0,0.0
2024,April,4,0.0,5.0,0.0,2.0,0.0,5.0,1.0,0.0
2024,May,5,0.0,9.0,0.0,1.0,0.0,9.0,0.0,0.0
2024,June,6,0.0,5.0,0.0,,0.0,5.0,0.0,0.0
2024,July,7,0.0,9.0,0.0,2.0,0.0,,0.0,0.0
2024,August,8,0.0,4.0,0.0,3.0,0.0,2.0,0.0,0.0
2024,September,9,0.0,10.0,0.0,1.0,0.0,10.0,0.0,0.0
2024,October,10,0.0,6.0,0.0,2.0,2.0,6.0,1.0,0.0
2024,November,11,0.0,7.0,0.0,1.0,0.0,7.0,0.0,0.0
2024,December,12,0.0,9.0,0.0,1.0,0.0,9.0,,0.0
