year,month,month_num,metric,value
2018,January,1,dogs_returned_by_kennel_provider,4.0
2018,January,1,dogs_returned_by_warden,1.0
2018,January,1,dogs_seized,13.0
2018,February,2,dogs_euthanised,
2018,February,2,dogs_kennelled,13.0
2018,February,2,dogs_retained_by_finder,
2018,February,2,dogs_returned_by_kennel_provider,5.0
2018,February,2,dogs_returned_by_warden,1.0
2018,February,2,dogs_seized,14.0
2018,March,3,dogs_euthanised,
2018,March,3,dogs_kennelled,13.0
2018,March,3,dogs_retained_by_finder,1.0
2018,March,3,dogs_returned_by_kennel_provider,7.0
2018,March,3,dogs_returned_by_warden,2.0
2018,March,3,dogs_seized,16.0
2018,April,4,dogs_euthanised,
2018,April,4,dogs_kennelled,15.0
2018,April,4,dogs_retained_by_finder,
2018,April,4,dogs_returned_by_kennel_provider,5.0
2018,April,4,dogs_returned_by_warden,3.0
2018,April,4,dogs_seized,18.0
2018,May,5,dogs_euthanised,
2018,May,5,dogs_kennelled,12.0
2018,May,5,dogs_retained_by_finder,
2018,May,5,dogs_returned_by_kennel_provider,6.0
2018,May,5,dogs_returned_by_warden,2.0
2018,May,5,dogs_seized,14.0
2018,June,6,dogs_euthanised,
2018,June,6,dogs_kennelled,13.0
2018,June,6,dogs_retained_by_finder,
2018,June,6,dogs_returned_by_kennel_provider,10.0
2018,June,6,dogs_returned_by_warden,5.0
2018,June,6,dogs_seized,18.0
2018,July,7,dogs_euthanised,
2018,July,7,dogs_kennelled,10.0
2018,July,7,dogs_retained_by_finder,1.0
2018,July,7,dogs_returned_by_kennel_provider,1.0
2018,July,7,dogs_returned_by_warden,2.0
2018,July,7,dogs_seized,13.0
2018,August,8,dogs_euthanised,
2018,August,8,dogs_kennelled,8.0
2018,August,8,dogs_retained_by_finder,
2018,August,8,dogs_returned_by_kennel_provider,5.0
2018,August,8,dogs_returned_by_warden,3.0
2018,August,8,dogs_seized,11.0
2018,September,9,dogs_euthanised,
2018,September,9,dogs_kennelled,4.0
2018,September,9,dogs_retained_by_finder,
2018,September,9,dogs_returned_by_kennel_provider,3.0
2018,September,9,dogs_returned_by_warden,4.0
2018,September,9,dogs_seized,8.0
2018,October,10,dogs_euthanised,
2018,October,10,dogs_kennelled,16.0
2018,October,10,dogs_retained_by_finder,
2018,October,10,dogs_returned_by_kennel_provider,6.0
2018,October,10,dogs_returned_by_warden,1.0
2018,October,10,dogs_seized,16.0
2018,November,11,dogs_euthanised,
2018,November,11,dogs_kennelled,18.0
2018,November,11,dogs_retained_by_finder,
2018,November,11,dogs_returned_by_kennel_provider,10.0
2018,November,11,dogs_returned_by_warden,0.0
2018,November,11,dogs_seized,18.0
2018,December,12,dogs_euthanised,
2018,December,12,dogs_kennelled,14.0
2018,December,12,dogs_retained_by_finder,
2018,December,12,dogs_returned_by_kennel_provider,3.0
2018,December,12,dogs_returned_by_warden,0.0
2018,December,12,dogs_seized,14.0
2019,January,1,dogs_euthanised,0.0
2019,January,1,dogs_kennelled,9.0
2019,January,1,dogs_retained_by_finder,2.0
2019,January,1,dogs_returned_by_kennel_provider,11.0
2019,January,1,dogs_returned_by_warden,2.0
2019,January,1,dogs_seized,13.0
2019,February,2,dogs_euthanised,0.0
2019,February,2,dogs_kennelled,8.0
2019,February,2,dogs_retained_by_finder,0.0
2019,February,2,dogs_returned_by_kennel_provider,3.0
2019,February,2,dogs_returned_by_warden,0.0
2019,February,2,dogs_seized,8.0
2019,March,3,dogs_euthanised,0.0
2019,March,3,dogs_kennelled,10.0
2019,March,3,dogs_retained_by_finder,0.0
2019,March,3,dogs_returned_by_kennel_provider,7.0
2019,March,3,dogs_returned_by_warden,0.0
2019,March,3,dogs_seized,10.0
2019,April,4,dogs_euthanised,0.0
2019,April,4,dogs_kennelled,11.0
2019,April,4,dogs_retained_by_finder,0.0
2019,April,4,dogs_returned_by_kennel_provider,5.0
2019,April,4,dogs_returned_by_warden,1.0
2019,April,4,dogs_seized,12.0
2019,May,5,dogs_euthanised,0.0
2019,May,5,dogs_kennelled,12.0
2019,May,5,dogs_retained_by_finder,1.0
2019,May,5,dogs_returned_by_kennel_provider,0.0
2019,May,5,dogs_returned_by_warden,3.0
2019,May,5,dogs_seized,16.0
2019,June,6,dogs_euthanised,0.0
2019,June,6,dogs_kennelled,8.0
2019,June,6,dogs_retained_by_finder,0.0
2019,June,6,dogs_returned_by_kennel_provider,7.0
2019,June,6,dogs_returned_by_warden,0.0
2019,June,6,dogs_seized,8.0
2019,July,7,dogs_euthanised,0.0
2019,July,7,dogs_kennelled,17.0
2019,July,7,dogs_retained_by_finder,2.0
2019,July,7,dogs_returned_by_kennel_provider,7.0
2019,July,7,dogs_returned_by_warden,1.0
2019,July,7,dogs_seized,20.0
2019,August,8,dogs_euthanised,0.0
2019,August,8,dogs_kennelled,9.0
2019,August,8,dogs_retained_by_finder,0.0
2019,August,8,dogs_returned_by_kennel_provider,3.0
2019,August,8,dogs_returned_by_warden,0.0
2019,August,8,dogs_seized,9.0
2019,September,9,dogs_euthanised,0.0
2019,September,9,dogs_kennelled,5.0
2019,September,9,dogs_retained_by_finder,1.0
2019,September,9,dogs_returned_by_kennel_provider,3.0
2019,September,9,dogs_returned_by_warden,0.0
2019,September,9,dogs_seized,6.0
2019,October,10,dogs_euthanised,0.0
2019,October,10,dogs_kennelled,9.0
2019,October,10,dogs_retained_by_finder,1.0
2019,October,10,dogs_returned_by_kennel_provider,5.0
2019,October,10,dogs_returned_by_warden,0.0
2019,October,10,dogs_seized,10.0
2019,November,11,dogs_euthanised,0.0
2019,November,11,dogs_kennelled,3.0
2019,November,11,dogs_retained_by_finder,0.0
2019,November,11,dogs_returned_by_kennel_provider,1.0
2019,November,11,dogs_returned_by_warden,0.0
2019,November,11,dogs_seized,3.0
2019,December,12,dogs_euthanised,0.0
2019,December,12,dogs_kennelled,8.0
2019,December,12,dogs_retained_by_finder,0.0
2019,December,12,dogs_returned_by_kennel_provider,3.0
2019,December,12,dogs_returned_by_warden,0.0
2019,December,12,dogs_seized,8.0
2020,January,1,dogs_euthanised,2.0
2020,January,1,dogs_kennelled,5.0
2020,January,1,dogs_retained_by_finder,0.0
2020,January,1,dogs_returned_by_kennel_provider,4.0
2020,January,1,dogs_returned_by_warden,1.0
2020,January,1,dogs_seized,12.0
2020,February,2,dogs_euthanised,0.0
2020,February,2,dogs_kennelled,3.0
2020,February,2,dogs_retained_by_finder,0.0
2020,February,2,dogs_returned_by_kennel_provider,5.0
2020,February,2,dogs_returned_by_warden,0.0
2020,February,2,dogs_seized,8.0
2020,March,3,dogs_euthanised,0.0
2020,March,3,dogs_kennelled,6.0
2020,March,3,dogs_retained_by_finder,0.0
2020,March,3,dogs_returned_by_kennel_provider,2.0
2020,March,3,dogs_returned_by_warden,0.0
2020,March,3,dogs_seized,8.0
2020,April,4,dogs_euthanised,0.0
2020,April,4,dogs_kennelled,6.0
2020,April,4,dogs_retained_by_finder,1.0
2020,April,4,dogs_returned_by_kennel_provider,6.0
2020,April,4,dogs_returned_by_warden,0.0
2020,April,4,dogs_seized,7.0
2020,May,5,dogs_euthanised,0.0
2020,May,5,dogs_kennelled,8.0
2020,May,5,dogs_retained_by_finder,0.0
2020,May,5,dogs_returned_by_kennel_provider,2.0
2020,May,5,dogs_returned_by_warden,0.0
2020,May,5,dogs_seized,8.0
2020,June,6,dogs_euthanised,0.0
2020,June,6,dogs_kennelled,4.0
2020,June,6,dogs_retained_by_finder,0.0
2020,June,6,dogs_returned_by_kennel_provider,1.0
2020,June,6,dogs_returned_by_warden,0.0
2020,June,6,dogs_seized,4.0
2020,July,7,dogs_euthanised,0.0
2020,July,7,dogs_kennelled,5.0
2020,July,7,dogs_retained_by_finder,1.0
2020,July,7,dogs_returned_by_kennel_provider,2.0
2020,July,7,dogs_returned_by_warden,0.0
2020,July,7,dogs_seized,6.0
2020,August,8,dogs_euthanised,0.0
2020,August,8,dogs_kennelled,4.0
2020,August,8,dogs_retained_by_finder,1.0
2020,August,8,dogs_returned_by_kennel_provider,3.0
2020,August,8,dogs_returned_by_warden,2.0
2020,August,8,dogs_seized,7.0
2020,September,9,dogs_euthanised,0.0
2020,September,9,dogs_kennelled,3.0
2020,September,9,dogs_retained_by_finder,0.0
2020,September,9,dogs_returned_by_kennel_provider,0.0
2020,September,9,dogs_returned_by_warden,6.0
2020,September,9,dogs_seized,9.0
2020,October,10,dogs_euthanised,0.0
2020,October,10,dogs_kennelled,10.0
2020,October,10,dogs_retained_by_finder,0.0
2020,October,10,dogs_returned_by_kennel_provider,4.0
2020,October,10,dogs_returned_by_warden,4.0
2020,October,10,dogs_seized,14.0
2020,November,11,dogs_euthanised,0.0
2020,November,11,dogs_kennelled,6.0
2020,November,11,dogs_retained_by_finder,0.0
2020,November,11,dogs_returned_by_kennel_provider,3.0
2020,November,11,dogs_returned_by_warden,0.0
2020,November,11,dogs_seized,6.0
2020,December,12,dogs_euthanised,0.0
2020,December,12,dogs_kennelled,4.0
2020,December,12,dogs_retained_by_finder,0.0
2020,December,12,dogs_returned_by_kennel_provider,3.0
2020,December,12,dogs_returned_by_warden,1.0
2020,December,12,dogs_seized,5.0
2021,January,1,dogs_euthanised,0.0
2021,January,1,dogs_kennelled,5.0
2021,January,1,dogs_retained_by_finder,0.0
2021,January,1,dogs_returned_by_kennel_provider,3.0
2021,January,1,dogs_returned_by_warden,0.0
2021,January,1,dogs_seized,5.0
2021,February,2,dogs_euthanised,0.0
2021,February,2,dogs_kennelled,2.0
2021,February,2,dogs_retained_by_finder,1.0
2021,February,2,dogs_returned_by_kennel_provider,1.0
2021,February,2,dogs_returned_by_warden,0.0
2021,February,2,dogs_seized,3.0
2021,March,3,dogs_euthanised,0.0
2021,March,3,dogs_kennelled,6.0
2021,March,3,dogs_retained_by_finder,1.0
2021,March,3,dogs_returned_by_kennel_provider,2.0
2021,March,3,dogs_returned_by_warden,1.0
2021,March,3,dogs_seized,8.0
2021,April,4,dogs_euthanised,0.0
2021,April,4,dogs_kennelled,6.0
2021,April,4,dogs_retained_by_finder,1.0
2021,April,4,dogs_returned_by_kennel_provider,4.0
2021,April,4,dogs_returned_by_warden,4.0
2021,April,4,dogs_seized,11.0
2021,May,5,dogs_euthanised,0.0
2021,May,5,dogs_kennelled,1.0
2021,May,5,dogs_retained_by_finder,0.0
2021,May,5,dogs_returned_by_kennel_provider,1.0
2021,May,5,dogs_returned_by_warden,0.0
2021,May,5,dogs_seized,1.0
2021,June,6,dogs_euthanised,0.0
2021,June,6,dogs_kennelled,7.0
2021,June,6,dogs_retained_by_finder,0.0
2021,June,6,dogs_returned_by_kennel_provider,5.0
2021,June,6,dogs_returned_by_warden,5.0
2021,June,6,dogs_seized,12.0
2021,July,7,dogs_euthanised,0.0
2021,July,7,dogs_kennelled,3.0
2021,July,7,dogs_retained_by_finder,0.0
2021,July,7,dogs_returned_by_kennel_provider,1.0
2021,July,7,dogs_returned_by_warden,3.0
2021,July,7,dogs_seized,6.0
2021,August,8,dogs_euthanised,0.0
2021,August,8,dogs_kennelled,5.0
2021,August,8,dogs_retained_by_finder,0.0
2021,August,8,dogs_returned_by_kennel_provider,1.0
2021,August,8,dogs_returned_by_warden,3.0
2021,August,8,dogs_seized,8.0
2021,September,9,dogs_euthanised,0.0
2021,September,9,dogs_kennelled,2.0
2021,September,9,dogs_retained_by_finder,0.0
2021,September,9,dogs_returned_by_kennel_provider,2.0
2021,September,9,dogs_returned_by_warden,1.0
2021,September,9,dogs_seized,3.0
2021,October,10,dogs_euthanised,0.0
2021,October,10,dogs_kennelled,8.0
2021,October,10,dogs_retained_by_finder,1.0
2021,October,10,dogs_returned_by_kennel_provider,4.0
2021,October,10,dogs_returned_by_warden,1.0
2021,October,10,dogs_seized,11.0
2021,November,11,dogs_euthanised,0.0
2021,November,11,dogs_kennelled,3.0
2021,November,11,dogs_retained_by_finder,0.0
2021,November,11,dogs_returned_by_kennel_provider,1.0
2021,November,11,dogs_returned_by_warden,0.0
2021,November,11,dogs_seized,3.0
2021,December,12,dogs_euthanised,0.0
2021,December,12,dogs_kennelled,4.0
2021,December,12,dogs_retained_by_finder,0.0
2021,December,12,dogs_returned_by_kennel_provider,1.0
2021,December,12,dogs_returned_by_warden,2.0
2021,December,12,dogs_seized,6.0
2022,January,1,dogs_euthanised,0.0
2022,January,1,dogs_kennelled,7.0
2022,January,1,dogs_retained_by_finder,0.0
2022,January,1,dogs_returned_by_kennel_provider,5.0
2022,January,1,dogs_returned_by_warden,0.0
2022,January,1,dogs_seized,7.0
2022,January,1,patrolled_no_dog_found,0.0
2022,January,1,warden_advised_owners,2.0
2022,February,2,dogs_euthanised,0.0
2022,February,2,dogs_kennelled,7.0
2022,February,2,dogs_retained_by_finder,0.0
2022,February,2,dogs_returned_by_kennel_provider,3.0
2022,February,2,dogs_returned_by_warden,0.0
2022,February,2,dogs_seized,7.0
2022,February,2,patrolled_no_dog_found,1.0
2022,February,2,warden_advised_owners,6.0
2022,March,3,dogs_euthanised,0.0
2022,March,3,dogs_kennelled,6.0
2022,March,3,dogs_retained_by_finder,0.0
2022,March,3,dogs_returned_by_kennel_provider,0.0
2022,March,3,dogs_returned_by_warden,0.0
2022,March,3,dogs_seized,6.0
2022,March,3,patrolled_no_dog_found,0.0
2022,March,3,warden_advised_owners,5.0
2022,April,4,dogs_euthanised,0.0
2022,April,4,dogs_kennelled,5.0
2022,April,4,dogs_retained_by_finder,1.0
2022,April,4,dogs_returned_by_kennel_provider,2.0
2022,April,4,dogs_returned_by_warden,0.0
2022,April,4,dogs_seized,5.0
2022,April,4,patrolled_no_dog_found,2.0
2022,April,4,warden_advised_owners,2.0
2022,May,5,dogs_euthanised,0.0
2022,May,5,dogs_kennelled,8.0
2022,May,5,dogs_retained_by_finder,1.0
2022,May,5,dogs_returned_by_kennel_provider,3.0
2022,May,5,dogs_returned_by_warden,0.0
2022,May,5,dogs_seized,8.0
2022,May,5,patrolled_no_dog_found,1.0
2022,May,5,warden_advised_owners,4.0
2022,June,6,dogs_euthanised,0.0
2022,June,6,dogs_kennelled,4.0
2022,June,6,dogs_retained_by_finder,0.0
2022,June,6,dogs_returned_by_kennel_provider,2.0
2022,June,6,dogs_returned_by_warden,0.0
2022,June,6,dogs_seized,4.0
2022,June,6,patrolled_no_dog_found,1.0
2022,June,6,warden_advised_owners,2.0
2022,July,7,dogs_euthanised,0.0
2022,July,7,dogs_kennelled,8.0
2022,July,7,dogs_retained_by_finder,0.0
2022,July,7,dogs_returned_by_kennel_provider,3.0
2022,July,7,dogs_returned_by_warden,0.0
2022,July,7,dogs_seized,8.0
2022,July,7,patrolled_no_dog_found,1.0
2022,July,7,warden_advised_owners,2.0
2022,August,8,dogs_euthanised,0.0
2022,August,8,dogs_kennelled,11.0
2022,August,8,dogs_retained_by_finder,1.0
2022,August,8,dogs_returned_by_kennel_provider,2.0
2022,August,8,dogs_returned_by_warden,0.0
2022,August,8,dogs_seized,11.0
2022,August,8,patrolled_no_dog_found,1.0
2022,August,8,warden_advised_owners,0.0
2022,September,9,dogs_euthanised,1.0
2022,September,9,dogs_kennelled,6.0
2022,September,9,dogs_retained_by_finder,0.0
2022,September,9,dogs_returned_by_kennel_provider,2.0
2022,September,9,dogs_returned_by_warden,0.0
2022,September,9,dogs_seized,7.0
2022,September,9,patrolled_no_dog_found,1.0
2022,September,9,warden_advised_owners,0.0
2022,October,10,dogs_euthanised,0.0
2022,October,10,dogs_kennelled,10.0
2022,October,10,dogs_retained_by_finder,0.0
2022,October,10,dogs_returned_by_kennel_provider,5.0
2022,October,10,dogs_returned_by_warden,0.0
2022,October,10,dogs_seized,10.0
2022,October,10,patrolled_no_dog_found,0.0
2022,October,10,warden_advised_owners,0.0
2022,November,11,dogs_euthanised,0.0
2022,November,11,dogs_kennelled,6.0
2022,November,11,dogs_retained_by_finder,1.0
2022,November,11,dogs_returned_by_kennel_provider,0.0
2022,November,11,dogs_returned_by_warden,0.0
2022,November,11,dogs_seized,6.0
2022,November,11,patrolled_no_dog_found,1.0
2022,November,11,warden_advised_owners,0.0
2022,December,12,dogs_euthanised,0.0
2022,December,12,dogs_kennelled,9.0
