2019,Number of stray dogs,Number of stray dogs kennelled,Number of dogs returned to owner by ,Number of dogs retained by the finder,Number of dogs returned to owner by kennel provider,Number of dogs euthanised during the 7 day statutory holding period
,seized,,wardens,,,
,,,,,,
January,13,9,2,2,11,0
February,8,8,0,0,3,0
March,10,10,0,0,7,0
April,12,11,1,0,5,0
May,16,12,3,1,0,0
June,8,8,0,0,7,0
July,20,17,1,2,7,0
August,9,9,0,0,3,0
September,6,5,0,1,3,0
October,10,9,0,1,5,0
November,3,3,0,0,1,0
December,8,8,0,0,3,0
,,,,,,
Totals,123,117,5,7,62,
